,count,unique,top,freq
625,140.0,35.0,0.0,70.0
626,145.0,37.0,0.0,69.0
627,144.0,33.0,0.0,66.0
628,142.0,34.0,0.0,66.0
629,143.0,36.0,0.0,71.0
631,144.0,38.0,0.0,66.0
634,142.0,34.0,0.0,68.0
636,140.0,35.0,0.0,72.0
642,141.0,33.0,0.0,68.0
649,147.0,37.0,0.0,62.0
650,143.0,39.0,0.0,66.0
651,146.0,37.0,0.0,65.0
657,147.0,38.0,0.0,67.0
658,146.0,37.0,0.0,68.0
659,147.0,38.0,0.0,65.0
660,142.0,34.0,0.0,70.0
663,147.0,39.0,0.0,67.0
665,142.0,34.0,0.0,70.0
667,151.0,42.0,0.0,66.0
668,144.0,37.0,0.0,70.0
669,143.0,38.0,0.0,66.0
671,144.0,37.0,0.0,69.0
675,140.0,34.0,0.0,70.0
677,145.0,36.0,0.0,69.0
678,149.0,40.0,0.0,69.0
679,141.0,35.0,0.0,67.0
682,142.0,35.0,0.0,69.0
683,149.0,39.0,0.0,63.0
685,142.0,35.0,0.0,67.0
686,142.0,37.0,0.0,67.0
687,148.0,40.0,0.0,69.0
688,144.0,36.0,0.0,69.0
690,146.0,36.0,0.0,65.0
695,143.0,35.0,0.0,68.0
696,142.0,37.0,0.0,67.0
697,143.0,34.0,0.0,68.0
698,139.0,33.0,0.0,74.0
700,146.0,42.0,0.0,68.0
701,145.0,34.0,0.0,68.0
702,144.0,39.0,0.0,61.0
703,142.0,35.0,0.0,66.0
705,149.0,41.0,0.0,62.0
708,142.0,35.0,0.0,68.0
709,142.0,36.0,0.0,68.0
711,142.0,33.0,0.0,71.0
712,143.0,34.0,0.0,72.0
713,144.0,36.0,0.0,67.0
716,139.0,34.0,0.0,74.0
718,142.0,34.0,0.0,67.0
720,140.0,35.0,0.0,70.0
721,143.0,35.0,0.0,69.0
722,140.0,35.0,0.0,72.0
723,142.0,35.0,0.0,68.0
725,146.0,35.0,0.0,68.0
726,145.0,36.0,0.0,72.0
727,144.0,36.0,0.0,65.0
729,143.0,36.0,0.0,71.0
733,142.0,36.0,0.0,67.0
735,144.0,35.0,0.0,68.0
738,144.0,34.0,0.0,73.0
739,140.0,35.0,0.0,71.0
742,144.0,37.0,0.0,70.0
743,142.0,35.0,0.0,69.0
744,142.0,33.0,0.0,72.0
745,141.0,32.0,0.0,70.0
746,148.0,38.0,0.0,70.0
747,142.0,35.0,0.0,68.0
750,152.0,43.0,0.0,69.0
751,145.0,38.0,0.0,68.0
752,142.0,37.0,0.0,69.0
753,153.0,43.0,0.0,75.0
754,143.0,34.0,0.0,67.0
757,142.0,36.0,0.0,68.0
758,140.0,36.0,0.0,69.0
760,139.0,32.0,0.0,71.0
762,139.0,32.0,0.0,73.0
764,137.0,29.0,0.0,73.0
765,146.0,37.0,0.0,69.0
768,142.0,35.0,0.0,69.0
772,142.0,35.0,0.0,70.0
773,145.0,36.0,0.0,71.0
777,148.0,39.0,0.0,68.0
781,142.0,36.0,0.0,68.0
785,141.0,34.0,0.0,68.0
790,142.0,37.0,0.0,68.0
794,141.0,33.0,0.0,71.0
796,144.0,37.0,0.0,65.0
799,144.0,35.0,0.0,70.0
800,144.0,35.0,0.0,70.0
805,140.0,34.0,0.0,69.0
807,140.0,34.0,0.0,69.0
808,142.0,35.0,0.0,70.0
809,142.0,36.0,0.0,69.0
817,141.0,36.0,0.0,66.0
819,146.0,37.0,0.0,67.0
827,146.0,39.0,0.0,74.0
829,139.0,35.0,0.0,74.0
831,142.0,35.0,0.0,69.0
832,140.0,34.0,0.0,69.0
833,143.0,34.0,0.0,72.0
834,143.0,36.0,0.0,68.0
838,144.0,34.0,0.0,70.0
840,140.0,36.0,0.0,70.0
841,144.0,36.0,0.0,69.0
842,144.0,36.0,0.0,71.0
844,140.0,33.0,0.0,71.0
846,139.0,33.0,0.0,71.0
849,144.0,35.0,0.0,66.0
850,144.0,34.0,0.0,65.0
851,143.0,34.0,0.0,73.0
853,143.0,35.0,0.0,67.0
857,142.0,36.0,0.0,69.0
858,142.0,35.0,0.0,67.0
867,142.0,35.0,0.0,68.0
868,140.0,36.0,0.0,69.0
870,140.0,34.0,0.0,70.0
871,144.0,35.0,0.0,71.0
872,140.0,35.0,0.0,71.0
873,140.0,36.0,0.0,71.0
875,142.0,37.0,0.0,68.0
876,142.0,34.0,0.0,69.0
877,142.0,36.0,0.0,68.0
878,149.0,43.0,0.0,69.0
879,134.0,26.0,0.0,90.0
882,144.0,38.0,0.0,65.0
885,139.0,34.0,0.0,74.0
889,143.0,34.0,0.0,71.0
891,144.0,38.0,0.0,68.0
892,141.0,36.0,0.0,71.0
893,139.0,31.0,0.0,74.0
894,144.0,37.0,0.0,70.0
895,141.0,35.0,0.0,71.0
896,145.0,36.0,0.0,72.0
900,145.0,37.0,0.0,68.0
901,146.0,39.0,0.0,69.0
903,145.0,36.0,0.0,67.0
910,141.0,35.0,0.0,69.0
917,140.0,34.0,0.0,70.0
918,148.0,40.0,0.0,66.0
919,144.0,36.0,0.0,68.0
920,140.0,36.0,0.0,71.0
921,141.0,30.0,0.0,74.0
924,142.0,35.0,0.0,68.0
926,142.0,35.0,0.0,68.0
927,140.0,35.0,0.0,73.0
928,142.0,35.0,0.0,71.0
929,148.0,39.0,0.0,63.0
930,145.0,33.0,0.0,73.0
931,143.0,36.0,0.0,68.0
932,144.0,38.0,0.0,64.0
934,143.0,35.0,0.0,68.0
938,148.0,35.0,0.0,69.0
941,142.0,35.0,0.0,67.0
942,146.0,38.0,0.0,67.0
947,149.0,37.0,0.0,69.0
948,139.0,32.0,0.0,76.0
949,142.0,33.0,0.0,70.0
950,148.0,41.0,0.0,63.0
955,144.0,36.0,0.0,69.0
959,145.0,39.0,0.0,70.0
960,140.0,35.0,0.0,71.0
969,143.0,38.0,0.0,67.0
970,142.0,37.0,0.0,68.0
974,151.0,44.0,0.0,68.0
976,147.0,40.0,0.0,67.0
977,144.0,38.0,0.0,68.0
978,146.0,39.0,0.0,69.0
979,140.0,34.0,0.0,71.0
981,146.0,39.0,0.0,64.0
982,148.0,39.0,0.0,68.0
983,144.0,35.0,0.0,69.0
984,142.0,36.0,0.0,69.0
986,142.0,35.0,0.0,69.0
987,146.0,39.0,0.0,68.0
988,140.0,36.0,0.0,70.0
989,146.0,36.0,0.0,69.0
990,143.0,37.0,0.0,66.0
991,146.0,39.0,0.0,67.0
992,144.0,35.0,0.0,72.0
994,145.0,37.0,0.0,67.0
999,144.0,35.0,0.0,71.0
1001,141.0,34.0,0.0,68.0
1002,142.0,35.0,0.0,68.0
1006,150.0,40.0,0.0,69.0
1012,140.0,33.0,0.0,71.0
1014,142.0,34.0,0.0,71.0
1017,142.0,35.0,0.0,67.0
1021,144.0,35.0,0.0,70.0
1022,144.0,38.0,0.0,69.0
1026,144.0,37.0,0.0,70.0
1029,139.0,35.0,0.0,72.0
1030,148.0,39.0,0.0,68.0
1032,141.0,36.0,0.0,68.0
1033,150.0,42.0,0.0,68.0
1035,142.0,35.0,0.0,69.0
1036,144.0,37.0,0.0,68.0
1039,143.0,37.0,0.0,66.0
1040,142.0,35.0,0.0,71.0
1041,148.0,38.0,0.0,68.0
1044,142.0,37.0,0.0,67.0
1053,146.0,35.0,0.0,70.0
1056,149.0,41.0,0.0,69.0
1057,149.0,33.0,0.0,73.0
1058,142.0,33.0,0.0,69.0
1061,145.0,39.0,0.0,65.0
1065,147.0,37.0,0.0,68.0
1072,143.0,36.0,0.0,71.0
1073,146.0,37.0,0.0,66.0
1074,139.0,34.0,0.0,73.0
1075,146.0,38.0,0.0,69.0
1080,141.0,33.0,0.0,71.0
1088,140.0,36.0,0.0,72.0
1094,148.0,39.0,0.0,70.0
1102,147.0,41.0,0.0,63.0
1103,144.0,35.0,0.0,70.0
1106,150.0,41.0,0.0,64.0
1107,140.0,34.0,0.0,72.0
1108,142.0,37.0,0.0,69.0
1109,146.0,38.0,0.0,69.0
1114,145.0,37.0,0.0,67.0
1116,141.0,32.0,0.0,72.0
1117,148.0,39.0,0.0,67.0
1118,140.0,36.0,0.0,69.0
1119,146.0,36.0,0.0,70.0
1121,145.0,36.0,0.0,69.0
1122,142.0,37.0,0.0,69.0
1126,144.0,36.0,0.0,66.0
1127,140.0,34.0,0.0,71.0
1129,140.0,33.0,0.0,70.0
1131,144.0,36.0,0.0,69.0
1132,139.0,32.0,0.0,73.0
1134,145.0,34.0,0.0,74.0
1135,153.0,42.0,0.0,62.0
1139,148.0,39.0,0.0,68.0
1141,142.0,37.0,0.0,69.0
1149,142.0,34.0,0.0,69.0
1156,145.0,37.0,0.0,66.0
1159,144.0,36.0,0.0,69.0
1161,142.0,34.0,0.0,68.0
1163,140.0,35.0,0.0,70.0
1165,144.0,36.0,0.0,65.0
1173,140.0,32.0,0.0,70.0
1179,154.0,44.0,0.0,67.0
1180,146.0,38.0,0.0,69.0
