,Null Count,Null Ratio
mprofesscode35,0,0.0
units25,0,0.0
mprofesscode26,0,0.0
units26,0,0.0
mprofesscode27,0,0.0
units27,0,0.0
mprofesscode28,0,0.0
units28,0,0.0
mprofesscode29,0,0.0
units29,0,0.0
mprofesscode30,0,0.0
units30,0,0.0
mprofesscode31,0,0.0
units31,0,0.0
mprofesscode32,0,0.0
units32,0,0.0
mprofesscode33,0,0.0
units33,0,0.0
mprofesscode34,0,0.0
units34,0,0.0
mispar_ishi,0,0.0
